"NUTS_ID","NAME_LATN","NAME_ENGL","ISO3_CODE","calc_grass","non_calc_grass","grass_missing_data","all_grass","total_area"
"DE24","Oberfranken","Germany","DEU",610.6474,825.9087,12.2127,1448.7688,7231.2032
"CZ02","Střední Čechy","Czechia","CZE",134.2599,1459.2395,27.0183,1620.5177,10931.356
"DE27","Schwaben","Germany","DEU",261.3291,2747.4297,33.4537,3042.2125,10031.0035
"DE30","Berlin","Germany","DEU",17.6177,35.2786,8.3018,61.1981,893.1055
"DE93","Lüneburg","Germany","DEU",156.6155,3650.065,162.9465,3969.627,15477.1396
"DE25","Mittelfranken","Germany","DEU",879.8741,567.9895,17.4317,1465.2953,7246.1747
"CZ03","Jihozápad","Czechia","CZE",6.9492,4096.9658,42.5702,4146.4852,17709.3463
"DEA2","Köln","Germany","DEU",230.9459,1351.8821,50.311,1633.139,7366.1834
"DE26","Unterfranken","Germany","DEU",330.5919,767.3333,21.8372,1119.7624,8529.4178
"CZ04","Severozápad","Czechia","CZE",120.1107,1834.4001,40.4057,1994.9165,8650.0931
"DE40","Brandenburg","Germany","DEU",495.3188,5246.4066,176.2146,5917.94,29651.096
"DE50","Bremen","Germany","DEU",2.4879,110.7759,15.227,128.4908,402.7287
"DE60","Hamburg","Germany","DEU",9.9325,115.5304,16.4577,141.9206,743.3652
"DE94","Weser-Ems","Germany","DEU",101.158,4392.847,334.9936,4828.9986,14992.4052
"DEA1","Düsseldorf","Germany","DEU",27.0019,941.8197,63.5224,1032.344,5292.1142
"DE13","Freiburg","Germany","DEU",157.4001,1886.4987,26.6203,2070.5191,9400.1537
"CZ05","Severovýchod","Czechia","CZE",659.6107,2299.2452,25.1286,2983.9845,12439.8177
"DE71","Darmstadt","Germany","DEU",160.4837,987.5826,29.2828,1177.3491,7443.8799
"DE72","Gießen","Germany","DEU",178.6171,1086.5102,10.3431,1275.4704,5381.6293
"DE14","Tübingen","Germany","DEU",379.489,1999.1387,23.4477,2402.0754,9135.8503
"CZ06","Jihovýchod","Czechia","CZE",100.227,2070.549,23.9946,2194.7706,13982.2226
